"","state","date","admission","maskwearing","delphi_samplesize","maskwearing_stderr","symptom","symptoms_stderr"
"236","mn",2021-05-05,83.7142857,86.703037,2845.5939,0.6365125,NA,NA
"237","mo",2021-05-05,66.8571429,75.5747846,2966.7325,0.7888028,NA,NA
"238","ms",2021-05-05,28.7142857,73.1185908,1347.7339,1.207641,NA,NA
"239","mt",2021-05-05,17,68.6950498,815.3314,1.6240603,NA,NA
"240","nc",2021-05-05,112.5714286,85.4184084,5043.0057,0.4969738,NA,NA
"241","nd",2021-05-05,10.2857143,62.9228843,436.6823,2.3113967,NA,NA
"242","ne",2021-05-05,13.7142857,78.0667332,1132.5491,1.2295782,NA,NA
"243","nh",2021-05-05,11.5714286,87.3920984,1120.7766,0.991512,NA,NA
"244","nj",2021-05-05,154.2857143,91.5748715,3878.9991,0.4459812,NA,NA
"245","nm",2021-05-05,23.1428571,89.1972556,1581.5162,0.7805594,NA,NA
"246","nv",2021-05-05,44.1428571,87.8028866,1255.1028,0.9237262,NA,NA
"247","ny",2021-05-05,274.5714286,91.7494548,8193.0002,0.3039636,NA,NA
"248","oh",2021-05-05,179.4285714,84.225695,6507.002,0.4518632,NA,NA
"249","ok",2021-05-05,32.8571429,72.4171887,2032.9992,0.9912233,NA,NA
"250","or",2021-05-05,39.4285714,88.6425695,3003.169,0.5789904,NA,NA
"251","pa",2021-05-05,260.7142857,84.8204843,7298.0031,0.4200271,NA,NA
"252","pr",2021-05-05,24.4285714,NA,NA,NA,NA,NA
"253","ri",2021-05-05,7.4285714,93.1521724,684.9895,0.9650081,NA,NA
"254","sc",2021-05-05,44,78.4244773,2920.0032,0.7612281,NA,NA
"255","sd",2021-05-05,10.7142857,65.7265336,628.8898,1.8926142,NA,NA
"256","tn",2021-05-05,86.4285714,77.7230366,3485.5362,0.7048035,NA,NA
"257","tx",2021-05-05,334.1428571,81.4657325,10344.0173,0.3820591,NA,NA
"258","ut",2021-05-05,24.7142857,78.7679561,1494.1526,1.0579697,NA,NA
"259","va",2021-05-05,84.7142857,89.2324026,4821.4091,0.4464098,NA,NA
"260","vi",2021-05-05,0.2857143,NA,NA,NA,NA,NA
"261","vt",2021-05-05,3.1428571,92.6373722,574.0005,1.0900675,NA,NA
"262","wa",2021-05-05,70,89.7863634,4792.9757,0.4374141,NA,NA
"263","wi",2021-05-05,87.1428571,79.9241925,3509.0048,0.6762132,NA,NA
"264","wv",2021-05-05,35.4285714,83.1984521,1334.0045,1.023655,NA,NA
"265","wy",2021-05-05,5.8571429,53.1978787,394.7662,2.5113656,NA,NA
"266","ak",2021-05-06,5,77.8626528,491,1.8736421,NA,NA
"267","al",2021-05-06,65.8571429,74.454741,2092.0406,0.9534903,NA,NA
"268","ar",2021-05-06,37.1428571,75.3382862,1414.3638,1.1461433,NA,NA
"269","az",2021-05-06,72.1428571,80.7847837,3680.1239,0.6494657,NA,NA
"270","ca",2021-05-06,222.2857143,90.9937739,14428.1989,0.2383259,NA,NA
"271","co",2021-05-06,120.5714286,86.8684523,3196.9009,0.5973439,NA,NA
"272","ct",2021-05-06,60.1428571,91.7891588,2377,0.5630863,NA,NA
"273","dc",2021-05-06,11.8571429,91.3144135,281,1.6800263,NA,NA
"274","de",2021-05-06,14,92.1141038,693,1.0238162,NA,NA
"275","fl",2021-05-06,453.8571429,81.308473,10661.9997,0.3775469,NA,NA
"276","ga",2021-05-06,189,77.9416666,3757.9632,0.6763865,NA,NA
"277","hi",2021-05-06,7.2857143,91.9893809,714,1.0159043,NA,NA
"278","ia",2021-05-06,32.7142857,77.7274323,2297.7899,0.8679948,NA,NA
"279","id",2021-05-06,13,65.769159,1132.5765,1.409893,NA,NA
"280","il",2021-05-06,236.7142857,87.237089,6774.0229,0.4054172,NA,NA
"281","in",2021-05-06,101.5714286,80.0507432,3623.001,0.663914,NA,NA
"282","ks",2021-05-06,24.5714286,77.7479974,1696.0869,1.0099622,NA,NA
"283","ky",2021-05-06,119.4285714,83.2900381,2310.7607,0.7760805,NA,NA
"284","la",2021-05-06,49.5714286,75.014381,1930.9995,0.9852042,NA,NA
"285","ma",2021-05-06,65.8571429,92.1988956,3249.0095,0.4705063,NA,NA
"286","md",2021-05-06,108.5714286,91.8671324,2671.9988,0.5287907,NA,NA
"287","me",2021-05-06,14.8571429,90.925009,1326.2234,0.788781,NA,NA
"288","mi",2021-05-06,318.2857143,89.104387,7965.9943,0.3491044,NA,NA
"289","mn",2021-05-06,78,87.174706,2905.9934,0.6202712,NA,NA
"290","mo",2021-05-06,65.8571429,75.5627827,2936.6345,0.7929666,NA,NA
"291","ms",2021-05-06,26.7142857,74.3140044,1331.954,1.1971234,NA,NA
"292","mt",2021-05-06,16.4285714,68.0242539,829.1239,1.6196923,NA,NA
"293","nc",2021-05-06,110,85.6291614,4991.006,0.4965441,NA,NA
"294","nd",2021-05-06,9.2857143,62.0676462,441.8803,2.3082626,NA,NA
"295","ne",2021-05-06,13.1428571,77.7494062,1161.3703,1.2204893,NA,NA
"296","nh",2021-05-06,12.2857143,87.4756634,1104.7766,0.9958267,NA,NA
"297","nj",2021-05-06,149.1428571,91.6007428,3864.9991,0.4461647,NA,NA
"298","nm",2021-05-06,23.4285714,90.1527169,1549.7194,0.7568696,NA,NA
"299","nv",2021-05-06,39.1428571,87.2996896,1215.5283,0.9550607,NA,NA
"300","ny",2021-05-06,267,91.7155518,8135.0003,0.3056149,NA,NA
"301","oh",2021-05-06,179.2857143,84.7469135,6451.0015,0.4476383,NA,NA
"302","ok",2021-05-06,31.1428571,71.7438934,2008.9992,1.0045204,NA,NA
"303","or",2021-05-06,39,88.7269302,2943.0217,0.5829779,NA,NA
"304","pa",2021-05-06,251.2857143,85.3007902,7227.0024,0.4165282,NA,NA
"305","pr",2021-05-06,23.2857143,NA,NA,NA,NA,NA
"306","ri",2021-05-06,7.7142857,92.612208,684.9905,0.9994226,NA,NA
"307","sc",2021-05-06,41.1428571,77.7807903,2952.0038,0.765142,NA,NA
"308","sd",2021-05-06,10.2857143,65.1109397,616.6387,1.9193591,NA,NA
"309","tn",2021-05-06,81.7142857,77.2533271,3409.2206,0.717943,NA,NA
"310","tx",2021-05-06,327.1428571,81.8849479,10239.0236,0.3806208,NA,NA
"311","ut",2021-05-06,24.2857143,78.7900802,1466.2528,1.0675811,NA,NA
"312","va",2021-05-06,83.4285714,88.807456,4759.5995,0.4569871,NA,NA
"313","vi",2021-05-06,0.2857143,NA,NA,NA,NA,NA
"314","vt",2021-05-06,3.1428571,92.9880431,602.0005,1.040722,NA,NA
"315","wa",2021-05-06,70,89.9717442,4794.9769,0.433783,NA,NA
"316","wi",2021-05-06,87.2857143,79.9323801,3473.0042,0.6796051,NA,NA
"317","wv",2021-05-06,35.7142857,83.7070044,1324.0043,1.0149314,NA,NA
"318","wy",2021-05-06,5.4285714,53.3433958,370.7717,2.590858,NA,NA
"319","ak",2021-05-07,4.7142857,77.1354526,489,1.8991265,NA,NA
"320","al",2021-05-07,65.8571429,73.7684121,2074.0416,0.9659147,NA,NA
"321","ar",2021-05-07,36.2857143,74.7174138,1404.3702,1.159794,NA,NA
"322","az",2021-05-07,69.5714286,81.2138003,3599.6556,0.6510344,NA,NA
"323","ca",2021-05-07,222.4285714,90.8683211,14281.2611,0.2410451,NA,NA
"324","co",2021-05-07,120,86.785577,3153.9309,0.6030062,NA,NA
"325","ct",2021-05-07,59.5714286,91.931869,2325,0.5648174,NA,NA
"326","dc",2021-05-07,12.5714286,91.1198525,286,1.6820294,NA,NA
"327","de",2021-05-07,13.2857143,90.0816116,706,1.1249579,NA,NA
"328","fl",2021-05-07,442.1428571,81.8205621,10495.9998,0.3764519,NA,NA
"329","ga",2021-05-07,191.8571429,77.593993,3741.9624,0.6816267,NA,NA
"330","hi",2021-05-07,6.5714286,92.1207493,698,1.0197494,NA,NA
"331","ia",2021-05-07,32,77.8629078,2252.795,0.8747113,NA,NA
"332","id",2021-05-07,13,64.6825012,1118.5777,1.4290759,NA,NA
"333","il",2021-05-07,230,87.3359949,6737.0227,0.4051802,NA,NA
"334","in",2021-05-07,101.2857143,80.5565926,3569.9991,0.6623731,NA,NA
