,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
216,ia,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,9.4200946,0.6115292,2281.6692,state,fb-survey
217,id,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,12.1881249,0.9651954,1148.8403,state,fb-survey
218,il,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,9.5223427,0.3576893,6734.0008,state,fb-survey
219,in,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,11.7418594,0.5348987,3622.0008,state,fb-survey
220,ks,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,11.471568,0.7821452,1660.0866,state,fb-survey
221,ky,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,13.4429927,0.7113555,2299.4545,state,fb-survey
222,la,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,12.1601675,0.7401134,1949.9994,state,fb-survey
223,ma,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,10.8090502,0.5460728,3233.0115,state,fb-survey
224,md,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,7.8626145,0.5227532,2650.9984,state,fb-survey
225,me,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,13.5431599,0.9446171,1312.2234,state,fb-survey
226,mi,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,12.0163755,0.3625816,8041.9939,state,fb-survey
227,mn,smoothed_wdepressed_7d,2021-05-05,2021-05-10,5,9.4408075,0.5485159,2841.6021,state,fb-survey
